epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
74,2206.22,0.46303,0.65713,0.58582,0.89765,0,0.94622,0.95,0.98508,0.91394,0.94622,0.95,0.98508,0.8964,0.37136,0.53275,0.5674,0.8456,0,0.0005546,0.0005546,0.0005546
75,2262.93,0.46903,0.75553,0.59385,0.91879,0,0.92103,0.97197,0.98519,0.92705,0.92103,0.97197,0.98519,0.89604,0.36733,0.51048,0.55113,0.83649,0,0.0005348,0.0005348,0.0005348
76,2320.38,0.48783,0.69604,0.5914,0.90143,0,0.96065,0.93333,0.98496,0.92805,0.96065,0.93333,0.98496,0.91427,0.35252,0.50229,0.53541,0.82944,0,0.000515,0.000515,0.000515
77,2377.59,0.46552,0.707,0.58926,0.91241,0,0.90726,0.98333,0.98622,0.93381,0.90726,0.98333,0.98622,0.90901,0.34231,0.48863,0.53038,0.82691,0,0.0004952,0.0004952,0.0004952
78,2434.77,0.47364,0.6759,0.59743,0.91109,0,0.96093,0.96667,0.99015,0.94634,0.96093,0.96667,0.99015,0.91484,0.34532,0.47863,0.52034,0.82737,0,0.0004754,0.0004754,0.0004754
79,2491.8,0.48077,0.71232,0.58544,0.92593,0,0.9661,0.98333,0.99175,0.94164,0.9661,0.98333,0.99175,0.91436,0.34408,0.46161,0.50658,0.82743,0,0.0004556,0.0004556,0.0004556
80,2550.27,0.47613,0.6916,0.57293,0.90853,0,0.98237,0.98333,0.99287,0.94529,0.98237,0.98333,0.99287,0.91671,0.32455,0.45273,0.48343,0.82117,0,0.0004358,0.0004358,0.0004358
81,2608.24,0.44758,0.68602,0.55832,0.89531,0,0.97972,0.98333,0.99223,0.95496,0.97972,0.98333,0.99223,0.92112,0.31666,0.44952,0.48077,0.81968,0,0.000416,0.000416,0.000416
82,2665.75,0.41963,0.67668,0.53649,0.88485,0,0.96165,0.98333,0.99188,0.95494,0.96165,0.98333,0.99188,0.92473,0.31622,0.44878,0.47845,0.8192,0,0.0003962,0.0003962,0.0003962
83,2723.33,0.42701,0.61406,0.54834,0.89679,0,0.95198,0.96667,0.99208,0.95076,0.95198,0.96667,0.99208,0.92304,0.31226,0.44039,0.46655,0.81717,0,0.0003764,0.0003764,0.0003764
84,2760.36,0.42939,0.71035,0.54609,0.88586,0,0.93744,0.99896,0.99175,0.96002,0.93744,0.99896,0.99175,0.93639,0.31182,0.42813,0.46219,0.81593,0,0.0003566,0.0003566,0.0003566
