sample_id,episode,variation_id,score,D_min,label,completed,collided,progress_ratio,qp_failures,mean_abs_cte,min_obstacle_clearance,min_barrier_clearance,class_k_p,class_k_q
26,0,26,25.159705766134525,-0.09043395379514131,-1,False,False,0.4552421327246046,0,0.9270469207874588,0.07123125016931485,-0.09043395379514131,0.6111440121953099,1.616004947855869
27,0,27,16.28360302632865,0.3588474445978468,-1,False,False,0.27474319256481333,0,0.49140340886804734,0.36757829678341924,0.3588474445978468,0.13456650749684726,1.152789962443603
28,0,28,25.482777679039188,0.03671123507177519,-1,False,False,0.42540355454100764,0,0.7159118564718913,0.5261359889347133,0.03671123507177519,0.5046108326765218,0.6304394039549941
29,0,29,168.839038892306,-0.03615923091694408,1,True,False,1.0,0,0.16298541840388525,-0.03615923091694408,0.032000870319291094,5.976214985010309,1.1347815774106875
30,0,30,167.23560761829242,-0.11632682997191164,1,True,False,1.0,0,0.1449869982872722,-0.11632682997191164,-0.05421783475674309,13.484806411635372,1.5979817246233428
31,0,31,168.63386569336961,0.14949988595188957,1,True,False,1.0,0,0.2276890511050642,0.14949988595188957,0.3563233486306038,2.073278409960743,1.703592477734331
32,0,32,167.84902098915134,-0.055672869309393705,1,True,False,1.0,0,0.2861755730081542,-0.055672869309393705,-0.02133010783893892,2.964950606193687,0.6317336421704112
33,0,33,166.4375245582262,0.03268939503523226,1,True,False,1.0,0,0.5937459069623031,0.03268939503523226,0.06765517524973079,0.9081598280085837,0.8270407160249513
34,0,34,17.181423181937415,-0.0739653076269703,-1,False,False,0.3414315995434534,0,0.992144573929166,0.13069022364319355,-0.0739653076269703,0.7514031792866064,0.5127490066498404
35,0,35,7.783399501929198,0.06188794348009645,-1,False,False,0.11381053318115116,0,0.03055630345856391,0.06188794348009645,1.101331059454463,12.766803151860161,0.7730088821829361
36,0,36,168.1557580851082,-0.05079340901399755,1,True,False,1.0,0,0.24717434316582282,-0.05079340901399755,0.09575687141743332,2.8961583159247595,0.9609241792539547
37,0,37,169.0511908203485,0.016271940940861082,1,True,False,1.0,0,0.15813486327525167,0.016271940940861082,0.08494671888687204,7.981258485594845,1.7568724243445986
38,0,38,14.138875179374631,0.15261628888510048,-1,False,False,0.2809391814772542,0,0.9211445873388604,0.15261628888510048,0.1780359754453824,0.19337842838451222,2.1591635059240164
39,0,39,168.99825206578305,0.03553596687429238,1,True,False,1.0,0,0.16695798903615722,0.03553596687429238,0.08119366907063168,11.38396247440373,2.288616934031039
40,0,40,164.8215206026067,-0.06862067049356398,1,True,False,1.0,0,0.753207983122537,-0.02518786180569378,-0.06862067049356398,1.7368441802558572,0.6200118982740392
41,0,41,53.88189262168557,0.21755323197408682,-1,False,False,0.8085765530735366,0,0.45307768224366524,0.21755323197408682,0.46425278808997433,0.2623119820927377,2.3413925064379537
42,0,42,166.09849256413258,-0.0385822791095385,1,True,False,1.0,0,0.6155174198812214,0.012704841509539308,-0.0385822791095385,1.5918892206397628,0.6972154965876056
43,0,43,168.98916489825388,0.004214863258332965,1,True,False,1.0,0,0.16847251695768956,0.004214863258332965,0.06154736274911242,8.390512330661233,1.7114577514894578
44,0,44,167.94167856867114,-0.008352093083070791,1,True,False,1.0,0,0.34142589784788296,-0.008352093083070791,0.1670682166576165,1.736627728313108,1.1278332394858244
45,0,45,165.977878136978,0.02124369209903869,1,True,False,1.0,0,0.6703536438370008,0.02124369209903869,0.07494382944021992,0.7839280373631294,0.8268762679000587
46,0,46,14.947210367747228,0.20830883569455672,-1,False,False,0.2794717104190445,0,0.7693015602643143,0.20830883569455672,0.30144673957211776,0.1210085700418455,2.2276813778403963
47,0,47,168.28239930888643,0.1763137641431417,1,True,False,1.0,0,0.28626678185226445,0.1763137641431417,0.44270691322166733,1.041894238365149,1.5047974382702178
48,0,48,6.606878131572309,-0.22197691116094326,-1,False,False,0.29023316484591555,0,1.1351864225407196,0.10307636283509967,-0.22197691116094326,0.5024082501196968,1.9529148236808416
49,0,49,15.288631286886561,0.3358129118683175,-1,False,False,0.2577857492255014,0,0.45939519314975613,0.3950163899342293,0.3358129118683175,0.11345684179746361,1.1188075996434488
50,0,50,-0.13169567445413133,0.00407717988587851,-1,False,False,0.0779390184249144,0,0.9312378273663565,2.404449775947192,0.00407717988587851,0.11642466857888359,0.5703626248510205
51,0,51,169.05001587330932,-0.024264791639178787,1,True,False,1.0,0,0.14459248513827858,-0.012182673073935571,-0.024264791639178787,12.723389466537672,1.7470736060847318
52,0,52,166.5901225489107,-0.019439381516240542,1,True,False,1.0,0,0.5594954855944264,-0.019439381516240542,0.08210100025129279,0.8547642211705055,1.4522282374030568
53,0,53,167.9391712088439,-0.0918395502724756,1,True,False,1.0,0,0.14666639532683912,-0.05788158430669173,-0.0918395502724756,7.930717672145212,1.0572634673912578
54,0,54,167.54153254221004,-0.02079024661347896,1,True,False,1.0,0,0.39965910803251004,-0.02079024661347896,0.1138519473012075,1.9254269524997092,1.8041056213469964
55,0,55,167.71877008733537,0.17182483509827173,1,True,False,1.0,0,0.3802049854441032,0.17182483509827173,0.40243829382521845,0.5934891907425425,1.4420166702911783
56,0,56,167.95383645171947,-0.014652181301017211,1,True,False,1.0,0,0.3360179083196048,-0.014652181301017211,0.12565326898468382,4.6264528639275655,2.3001944907792105
57,0,57,39.12467662998395,0.20934077599862821,-1,False,False,0.6047611283221914,0,0.5347670587615744,0.20934077599862821,0.38658935982954423,0.21316961601323073,2.3535226630763426
58,0,58,15.312039504475107,0.21842680601197928,-1,False,False,0.27979781509864665,0,0.7123012587383597,0.21842680601197928,0.32671664542499546,0.10262890249795797,1.956550507915059
59,0,59,-4236.601243351405,-0.08555868757607905,-1,False,False,0.8353171368009131,1431,0.17476707745083417,-0.08555868757607905,-0.020410078917764876,5.804707636538635,0.6008809133936794
60,0,60,25.587925525289524,-0.061046001643600925,-1,False,False,0.4531224523071906,0,0.9348200219799907,0.10619742106303313,-0.061046001643600925,0.8157790971843056,2.0935638115891004
61,0,61,27.589814607524517,0.31321171868312114,-1,False,False,0.4322517528126529,0,0.44463468156019725,0.31321171868312114,0.45200473416930614,0.10741264501462094,1.6826162853058397
62,0,62,169.23474149627376,0.0179688456396747,1,True,False,1.0,0,0.12754308395437486,0.0179688456396747,0.12618869510333514,5.317308409848233,1.4286078822088588
63,0,63,169.07613765621085,-0.02104809426004113,1,True,False,1.0,0,0.14363987095199887,-0.02104809426004113,-0.0026020220184056614,3.7976468762063473,0.798131661933717
